地    区,合计,男,女,0岁小计,0岁男,0岁女,1-4岁小计,1-4岁男,1-4岁女,5-9岁小计,5-9岁男,5-9岁女,10-14岁小计,10-14岁男,10-14岁女,15-19岁小计,15-19岁男,15-19岁女,20-24岁小计,20-24岁男,20-24岁女,25-29岁小计,25-29岁男,25-29岁女,30-34岁小计,30-34岁男,30-34岁女,35-39岁小计,35-39岁男,35-39岁女,40-44岁小计,40-44岁男,40-44岁女,45-49岁小计,45-49岁男,45-49岁女,50-54岁小计,50-54岁男,50-54岁女,55-59岁小计,55-59岁男,55-59岁女,60-64岁小计,60-64岁男,60-64岁女,65-69岁小计,65-69岁男,65-69岁女,70-74岁小计,70-74岁男,70-74岁女,75-79岁小计,75-79岁男,75-79岁女,80-84岁小计,80-84岁男,80-84岁女,85-89岁小计,85-89岁男,85-89岁女,90-94岁小计,90-94岁男,90-94岁女,95-99岁小计,95-99岁男,95-99岁女,100岁及以上小计,100岁及以上男,100岁及以上女
广    东,126012510,66873646,59138864,1290748,691738,599010,6701847,3575143,3126704,8562360,4597464,3964896,7194927,3884271,3310656,6335235,3556607,2778628,9399562,5260488,4139074,11901905,6549206,5352699,13183618,7173902,6009716,11079219,5950175,5129044,9023058,4785408,4237650,9820206,5096764,4723442,8966587,4653924,4312663,6988172,3605405,3382767,4752066,2393321,2358745,4144845,2028352,2116493,2653440,1313194,1340246,1688428,803478,884950,1238268,550340,687928,735563,285721,449842,273732,95240,178492,69345,21180,48165,9379,2325,7054
广    西,50126804,25916169,24210635,567378,302822,264556,3016790,1602251,1414539,4335621,2318348,2017273,3922712,2097576,1825136,3191441,1680169,1511272,2464195,1287023,1177172,2713273,1432926,1280347,3865035,2011388,1853647,3694887,1936562,1758325,3401483,1784416,1617067,3628878,1904383,1724495,3727832,1936905,1790927,3233500,1650453,1583047,2249662,1131205,1118457,2197336,1083074,1114262,1513475,736337,777138,1078747,490366,588381,734848,315122,419726,403192,153748,249444,143622,49102,94520,35972,10454,25518,6925,1539,5386
海    南,10081232,5345081,4736151,104030,57250,46780,525021,284862,240159,717973,392089,325884,666701,366361,300340,550785,306260,244525,596003,332069,263934,824566,446327,378239,922158,494216,427942,851057,454656,396401,703273,374755,328518,738400,392037,346363,746262,393118,353144,658404,342351,316053,425099,216993,208106,376451,186885,189566,249109,124563,124546,157925,72360,85565,138306,59265,79041,82652,32906,49746,33854,11922,21932,10461,3197,7264,2742,639,2103
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
重    庆,32054159,16202133,15852026,239426,124283,115143,1286191,667693,618498,1695238,884840,810398,1877508,984260,893248,1767082,939652,827430,1880221,963154,917067,2130057,1088538,1041519,2426151,1231145,1195006,1772452,899256,873196,1560353,774008,786345,3072008,1537647,1534361,2978260,1476616,1501644,2358772,1167368,1191404,1536835,794854,741981,2071875,1029177,1042698,1415203,710033,705170,982606,483690,498916,581848,270922,310926,293260,124207,169053,104384,41694,62690,22079,8342,13737,2350,754,1596
四    川,83674866,42289718,41385148,634562,329691,304871,3428595,1777510,1651085,4604374,2387321,2217053,4803581,2497084,2306497,4319402,2255617,2063785,4741386,2433508,2307878,5390889,2767100,2623789,6353288,3262890,3090398,4528132,2307155,2220977,4745388,2380790,2364598,8008855,4023685,3985170,7947853,3963543,3984310,6004757,2993893,3010864,3996204,2042844,1953360,5309368,2611050,2698318,3671628,1829916,1841712,2548930,1239306,1309624,1539955,718779,821176,747805,324968,422837,278725,116432,162293,62635,23801,38834,8554,2835,5719
贵    州,38562148,19705293,18856855,525380,278841,246539,2480182,1318228,1161954,3205476,1717039,1488437,3031000,1618227,1412773,2561363,1339162,1222201,2551037,1267001,1284036,2493525,1260744,1232781,2757831,1410885,1346946,2296590,1193618,1102972,2497952,1292129,1205823,3061958,1586586,1475372,2922288,1477676,1444612,2246209,1120672,1125537,1474902,735777,739125,1631217,792295,838922,1183292,567595,615697,822323,379584,442739,519398,227533,291865,221565,91509,130056,64332,25234,39098,11815,4105,7710,2513,853,1660
云    南,47209277,24420924,22788353,515178,266844,248334,2550387,1326888,1223499,3101137,1616275,1484862,3070772,1609766,1461006,2992872,1562570,1430302,3087069,1606057,1481012,3159899,1682482,1477417,3754291,1997876,1756415,3263126,1745094,1518032,3585306,1902700,1682606,4079303,2149986,1929317,3856248,1991175,1865073,3155659,1601019,1554640,1964771,978342,986429,1919944,935570,984374,1301363,626130,675233,896004,412955,483049,577970,256159,321811,275016,113716,161300,84724,32838,51886,15809,5702,10107,2429,780,1649
西    藏,3648100,1913588,1734512,50388,25855,24533,253970,129722,124248,315353,160538,154815,275154,140080,135074,234502,121834,112668,256509,137997,118512,340119,184231,155888,371616,202750,168866,317321,170418,146903,258249,139126,119123,262158,143881,118277,229364,125030,104334,172413,90787,81626,104021,50689,53332,79618,37648,41970,57748,25731,32017,38000,15665,22335,19779,7587,12192,8293,2911,5382,2676,848,1828,702,219,483,147,41,106
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
陕    西,39528999,20226490,19302509,352993,183540,169453,1905305,989713,915592,2474456,1299247,1175209,2119451,1121153,998298,1785863,962535,823328,2031785,1071427,960358,2912000,1509945,1402055,3791478,1933488,1857990,2863591,1476230,1387361,2440524,1252007,1188517,3155991,1605272,1550719,3265686,1658050,1607636,2838674,1441456,1397218,2324605,1181274,1143331,2070117,1026429,1043688,1365357,671797,693560,924035,437524,486511,573175,259140,314035,251143,110436,140707,65744,29024,36720,14465,5899,8566,2561,904,1657
甘    肃,25019831,12700948,12318883,263011,136254,126757,1349008,699511,649497,1679652,876391,803261,1561872,819837,742035,1323412,692101,631311,1308457,663988,644469,1706571,854915,851656,1992464,1000155,992309,1542995,784233,758762,1452292,740749,711543,2228576,1126475,1102101,2483431,1254882,1228549,1867099,949220,917879,1113174,574822,538352,1189229,594888,594341,863675,420476,443199,592287,282403,309884,338727,156335,182392,130539,58407,72132,27183,12332,14851,5459,2337,3122,718,237,481
青    海,5923957,3033846,2890111,67254,34706,32548,324437,167337,157100,434439,223488,210951,406826,209675,197151,356682,183962,172720,365049,188187,176862,454114,234383,219731,495018,256276,238742,409914,212330,197584,458098,237257,220841,533670,278338,255332,519895,269394,250501,379159,195057,184102,205309,104827,100482,195180,95089,100091,135702,62885,72817,96614,42377,54237,57214,25414,31800,22501,9892,12609,5538,2443,3095,1169,462,707,175,67,108
宁    夏,7202654,3668938,3533716,83027,42661,40366,406356,210223,196133,495900,258040,237860,482721,251659,231062,433094,224272,208822,444510,224475,220035,547857,278487,269370,635014,323478,311536,541665,278748,262917,547016,280284,266732,595400,305580,289820,576630,291504,285126,439322,223885,215437,281318,142454,138864,276001,136133,139868,180377,86579,93798,124195,57830,66365,74159,34623,39536,29357,13855,15502,7251,3505,3746,1337,616,721,147,47,100
新    疆,25852345,13354380,12497965,178724,92597,86127,1156893,596218,560675,2543620,1306278,1237342,1926919,991442,935477,1433468,746906,686562,1545769,820427,725342,2010570,1060667,949903,2460305,1287326,1172979,1956237,1022206,934031,1831615,946806,884809,2253737,1170692,1083045,2155615,1117226,1038389,1481864,774644,707220,911124,466540,444584,718984,352686,366298,525061,242125,282936,385304,173453,211851,247219,123657,123562,94067,45024,49043,27658,13884,13774,6235,3005,3230,1357,571,786
